Age,Salary,YearsAtCompany,JobSatisfaction,WorkHours,Promotions,DistanceFromHome,Attrition
35,177271,28,7,72,1,48,1
49,116404,34,6,39,3,33,0
56,82724,26,3,46,1,41,1
33,111133,26,10,63,0,48,1
52,192477,7,8,53,2,47,1
27,40989,31,3,39,5,32,0
42,53931,19,5,59,2,12,0
48,34290,9,9,32,1,46,0
22,194439,12,5,66,4,35,1
26,146136,28,7,32,3,36,0
48,104878,34,7,69,5,38,1
48,115477,7,5,34,5,48,0
40,151299,28,2,57,2,28,1
50,186205,30,5,73,2,13,0
31,130686,29,7,43,1,12,0
48,183124,21,7,68,4,22,0
45,132286,20,4,40,3,44,0
59,65475,11,1,37,4,2,0
53,107666,10,6,66,5,29,1
21,121622,1,3,37,4,13,0
47,160705,1,5,41,1,35,1
33,173376,33,4,44,4,13,0
23,132573,2,2,48,3,34,1
59,71546,15,7,77,5,19,1
26,32008,3,5,75,0,9,1
28,73291,22,7,57,5,31,0
47,183477,19,9,36,0,33,0
29,61386,24,4,69,3,27,1
57,115909,29,5,36,5,45,0
53,176899,17,9,59,5,2,0
44,58040,10,10,47,5,15,0
35,85354,28,4,53,5,19,0
52,103543,16,5,35,1,31,0
52,43157,25,5,33,2,16,0
44,60315,22,8,32,5,43,0
32,60932,19,4,78,1,15,1
59,177236,1,4,76,3,6,1
22,170486,23,7,35,5,14,0
23,170399,30,5,55,4,27,1
57,138880,26,6,73,5,38,1
37,157018,1,6,67,5,19,1
22,39693,13,6,40,0,37,1
22,52241,3,10,58,4,43,1
48,140194,12,5,49,5,4,0
43,120790,34,5,39,5,26,0
57,171612,7,9,55,5,9,0
52,97255,1,8,77,1,41,1
53,197275,5,4,56,3,49,1
21,181153,30,7,79,0,40,1
39,36350,9,8,43,5,15,0
22,81809,20,9,65,3,41,1
46,126894,9,5,41,0,37,1
52,122557,22,3,52,0,4,0
26,198904,2,4,50,0,26,1
52,184441,31,10,37,5,18,0
24,56728,19,6,68,1,41,1
31,42576,9,10,38,5,35,0
37,185073,28,5,53,5,41,0
58,108384,33,9,60,3,41,0
44,25390,19,3,54,2,29,1
25,70436,7,2,46,2,24,1
54,36569,6,6,71,2,4,1
26,169101,5,7,58,3,21,0
42,47490,10,5,32,4,39,1
31,70875,17,1,50,3,7,1
36,30867,28,3,37,0,23,0
53,105820,24,3,43,5,40,1
29,124515,20,4,68,4,21,0
26,34121,2,10,45,0,1,0
36,26539,17,6,47,5,41,1
49,173099,23,5,60,5,25,0
23,152402,9,1,40,0,31,1
40,99229,26,6,67,3,44,1
56,164993,11,9,49,2,38,1
39,75435,6,1,75,4,45,1
46,166382,16,8,74,5,5,0
23,88965,0,8,33,1,31,0
39,136048,25,3,49,5,1,0
40,121444,14,9,60,2,30,0
52,94922,32,8,49,5,18,0
27,122799,30,3,40,1,8,0
53,118948,34,10,79,3,26,0
59,168314,0,5,30,5,40,0
38,33947,7,3,73,4,15,1
21,73785,11,5,47,3,19,0
31,144963,18,9,68,1,10,0
48,25507,24,4,73,0,24,1
45,183223,31,6,62,5,16,0
43,36618,11,3,65,3,43,1
51,99286,12,3,47,5,31,1
50,41122,27,5,76,4,44,1
55,163426,0,8,60,5,16,0
27,134598,5,8,64,3,16,1
36,187051,7,3,68,2,28,1
46,111436,3,8,67,3,20,1
22,161109,4,8,44,1,35,1
21,53633,24,3,76,3,9,1
32,49495,21,10,35,4,40,0
25,89550,27,10,37,3,10,0
57,61483,22,2,69,3,45,1
52,138181,3,10,51,4,18,0
29,59069,3,2,30,3,45,1
55,163442,20,9,42,4,45,1
39,144873,1,7,53,1,15,0
36,141843,6,6,50,4,45,1
23,96947,15,7,74,1,30,1
40,195205,16,8,72,1,48,1
44,120761,19,1,33,4,32,0
53,138753,22,8,36,3,40,0
44,156764,33,3,41,5,27,0
31,53926,10,3,42,2,27,1
28,124782,33,6,73,5,19,0
56,129700,32,4,45,4,10,0
58,98984,25,4,35,3,44,0
40,199462,1,4,43,1,46,1
55,74593,22,10,77,0,6,0
45,100609,21,9,60,2,24,0
55,30209,33,8,65,5,9,0
45,151700,14,3,66,3,27,1
49,162605,9,1,70,2,7,1
38,111597,14,1,64,0,6,1
38,32211,28,1,39,0,33,1
22,34927,22,4,46,0,21,1
55,142333,16,6,71,5,46,1
36,180666,8,4,59,4,38,1
56,101382,8,3,73,2,44,1
53,164005,15,8,36,4,17,0
24,128780,32,8,47,0,31,0
53,65696,30,6,48,3,37,0
34,92616,5,9,44,0,11,0
41,162161,9,10,68,4,28,0
40,182195,15,1,73,0,5,1
28,163869,3,8,51,0,12,0
27,75013,21,6,68,4,3,0
23,164418,12,1,71,4,41,1
37,189744,15,4,59,3,38,1
53,173725,28,5,49,4,2,0
32,74556,5,7,61,3,26,1
42,148723,25,8,71,1,2,0
42,51140,10,9,54,1,12,0
50,26184,23,6,52,4,40,1
58,190565,28,10,34,0,2,0
58,180918,2,9,79,2,41,1
28,136361,9,4,70,0,16,1
47,178267,0,8,59,4,30,1
47,30606,25,3,77,3,47,1
54,160028,11,4,68,0,46,1
41,41555,13,10,56,1,36,0
50,115385,24,4,71,5,4,0
53,174762,7,6,66,4,11,1
48,83502,3,9,36,0,24,0
53,182419,27,6,34,5,18,0
25,128844,6,1,44,0,27,1
39,116321,9,5,71,3,37,1
24,74056,1,9,37,3,2,0
55,123234,25,5,38,3,15,0
37,66850,13,6,40,5,11,0
48,52843,15,3,51,2,27,1
50,87320,16,8,63,5,49,1
49,54793,21,10,64,4,48,1
26,195588,3,4,42,4,47,1
55,173929,18,4,40,1,23,0
57,44627,1,5,61,1,35,1
44,86822,8,10,71,4,30,0
49,80798,18,9,44,0,47,1
51,100318,15,8,67,4,24,1
55,129186,24,7,30,2,19,0
53,112902,17,5,75,1,29,1
41,184629,22,9,79,1,13,0
52,96334,20,9,53,5,48,1
43,131719,10,10,72,1,23,1
53,148099,3,10,69,4,12,0
23,198686,24,2,51,1,49,1
38,37720,31,4,32,1,48,1
45,82608,29,8,43,5,41,0
51,132449,25,1,31,4,29,0
23,127828,33,5,61,0,6,0
44,151613,8,8,77,1,23,1
52,97095,11,2,67,1,31,1
42,130924,1,2,62,1,45,1
43,121452,4,8,75,2,21,1
22,112593,4,10,71,4,24,1
47,191964,21,9,35,1,8,0
22,131975,4,7,70,2,44,1
46,102242,3,8,68,0,9,1
37,141041,8,5,54,0,22,1
53,151202,28,1,63,5,4,0
29,102606,21,4,40,5,13,0
59,148769,26,2,75,5,34,1
49,143542,9,3,66,2,3,1
46,131438,15,3,70,0,37,1
55,25924,9,9,36,5,28,0
45,76322,5,10,75,3,26,1
44,182550,4,4,77,5,46,1
33,96042,5,2,51,0,34,1
27,71418,24,3,77,3,15,1
56,125699,3,3,68,2,8,1
40,115140,31,7,39,3,48,0
21,36781,34,8,50,0,35,0
28,161587,9,6,35,1,24,0
36,142358,33,4,78,3,37,1
34,61133,5,6,30,0,4,0
32,122628,15,1,63,5,12,1
43,101946,18,10,43,1,19,0
35,110058,33,8,65,2,15,0
48,165167,24,1,56,2,30,1
54,176542,30,5,38,4,45,0
22,68129,16,2,35,2,37,1
52,33531,29,6,60,4,12,0
43,62038,30,9,46,2,19,0
42,112939,18,5,72,2,34,1
45,67674,34,4,65,2,7,0
42,152572,28,2,50,4,28,1
42,54831,0,3,56,5,28,1
26,82174,3,6,70,4,29,1
35,36279,27,8,57,3,37,0
57,194292,17,8,45,0,20,0
53,85610,25,5,64,0,11,1
28,78051,18,5,65,5,39,1
25,81652,5,10,64,0,42,1
59,90524,0,3,74,2,23,1
24,31470,7,7,48,5,46,1
26,197870,32,6,50,0,20,0
52,78473,20,1,62,4,20,1
50,175952,23,4,52,3,11,0
55,69439,24,6,35,1,2,0
36,39308,18,6,61,3,13,0
33,116563,28,3,51,0,13,0
50,60081,9,6,32,5,41,0
39,34837,11,10,64,0,49,1
37,143128,32,6,45,4,15,0
39,192896,6,9,71,3,31,1
48,189145,16,9,54,4,23,0
46,137651,9,2,46,4,22,1
57,122624,30,4,68,1,16,1
46,182371,5,9,42,4,42,1
43,55063,16,4,57,4,29,1
29,94453,17,8,40,1,20,0
32,127166,25,10,39,2,28,0
21,39506,15,3,68,2,27,1
21,138604,7,3,53,5,44,1
54,51026,23,9,67,1,29,0
52,183744,12,10,53,5,5,0
45,194489,28,8,62,5,49,1
21,77413,31,1,46,4,42,1
36,90066,23,10,73,5,38,1
59,75971,15,2,65,0,38,1
25,183353,10,3,64,3,44,1
42,138978,31,2,35,0,2,0
49,184163,5,3,45,0,45,1
23,75494,34,8,74,4,20,0
32,128864,32,6,57,3,43,1
46,174682,17,7,70,5,47,1
36,157151,12,10,61,3,13,0
57,120386,9,10,55,5,26,0
42,111126,25,6,40,2,35,0
49,187023,16,1,54,1,46,1
34,105863,0,3,60,4,8,1
48,103291,24,1,50,5,28,1
25,150659,33,10,74,5,41,1
50,32235,9,9,32,3,15,0
25,107733,19,9,41,4,8,0
32,87712,6,5,69,5,11,0
36,177545,15,4,75,2,29,1
46,150849,28,9,70,0,5,0
46,104823,11,9,54,5,47,1
41,129215,16,3,46,3,47,1
59,57230,19,5,67,2,7,0
56,109573,25,3,65,4,18,0
53,65644,18,10,65,5,28,0
50,70203,11,2,48,2,12,1
57,91677,20,1,73,2,12,1
43,181497,33,10,31,2,36,0
30,148246,6,2,46,2,29,1
25,109817,34,8,59,2,11,0
56,94806,14,8,76,2,6,1
54,67814,0,3,39,1,21,1
51,95219,25,7,64,4,10,0
30,195956,34,7,65,0,32,1
39,120345,24,2,62,4,47,1
52,125088,14,9,30,3,33,0
21,94322,21,3,47,3,17,0
25,46650,5,2,33,4,3,0
24,119242,14,3,76,2,43,1
36,165262,23,2,56,1,18,1
44,63196,20,8,54,0,10,0
36,195521,6,5,57,5,41,1
22,195733,28,3,51,5,39,1
48,54709,31,5,71,2,43,1
52,105428,31,8,54,4,8,0
47,34943,4,7,46,5,34,0
40,199312,3,6,73,4,37,1
44,46042,21,1,41,1,41,1
32,68894,17,10,45,1,33,0
55,162941,34,1,66,4,49,1
53,81759,16,1,45,2,10,1
53,130973,23,10,46,2,40,0
57,69306,1,8,60,2,18,1
32,133369,12,8,44,5,25,0
23,176990,14,7,42,0,42,1
21,53379,4,6,69,0,41,1
53,145667,2,4,56,2,36,1
30,159034,2,1,50,4,2,1
49,169923,34,9,31,1,19,0
33,142626,22,1,37,3,10,0
32,150180,27,4,71,1,49,1
51,77349,29,3,36,1,3,0
22,170817,17,7,39,3,19,0
55,30730,32,5,33,2,26,0
43,169993,25,5,72,1,47,1
37,44023,16,4,70,3,25,1
46,151796,6,1,65,5,17,1
28,106533,7,5,64,4,10,0
49,108286,30,4,72,4,46,1
46,66979,11,10,32,4,11,0
30,47837,30,8,47,2,11,0
46,171069,18,2,75,1,12,1
54,129975,9,8,72,1,40,1
27,45923,11,1,53,0,48,1
24,33876,19,4,61,4,8,1
31,85973,6,3,63,2,24,1
49,158959,13,5,31,3,14,0
56,67422,10,5,31,2,23,0
45,76413,6,5,39,1,36,1
41,127484,28,4,52,4,17,0
56,158913,9,8,44,0,45,1
30,53756,28,3,41,5,5,0
57,96576,8,4,72,2,3,0
29,143248,9,1,46,0,9,1
44,35304,18,7,47,1,20,0
55,55341,30,1,43,3,20,0
55,160830,16,2,46,2,19,0
56,173082,8,7,44,5,21,0
38,152039,32,1,41,1,16,0
59,187730,33,3,45,4,33,0
52,157447,23,6,61,2,5,0
44,124485,8,6,52,0,24,1
43,47092,6,6,67,2,15,1
52,156562,15,2,63,1,26,1
57,28729,18,2,63,1,44,1
32,162046,5,6,45,0,25,1
33,143222,10,10,63,5,28,0
43,110216,11,5,69,1,33,1
45,108860,12,7,36,2,46,0
55,121870,11,7,62,5,18,0
50,46398,20,5,33,0,18,0
37,59650,9,8,72,1,38,1
40,177364,19,10,36,1,33,0
45,128889,27,6,47,2,27,0
42,28159,23,5,33,1,49,1
33,123162,4,4,78,2,15,1
39,127834,11,7,40,4,44,1
56,173137,34,4,72,5,13,0
32,46638,1,5,49,2,34,1
39,26073,8,5,40,3,4,0
32,54320,21,1,44,1,35,1
29,59924,4,1,75,4,19,1
27,196806,11,3,46,5,31,0
48,93116,0,3,63,0,25,1
34,196097,21,2,79,3,40,1
51,27159,18,2,77,0,12,1
39,73940,15,6,41,3,12,0
36,104436,30,1,71,4,42,1
25,39678,2,6,57,5,25,1
55,168093,22,5,77,4,33,1
32,162844,17,6,64,4,37,1
45,92163,25,5,37,3,28,0
41,179536,12,7,56,2,43,1
56,76137,17,1,51,5,9,1
43,186304,2,3,53,0,14,1
36,86497,22,6,31,2,3,0
59,125485,2,1,60,2,5,1
59,130468,24,7,51,1,26,0
34,25901,26,4,30,0,41,0
51,112980,26,3,43,3,18,0
25,132594,24,10,54,1,38,1
55,27881,23,9,65,1,21,0
43,54863,7,1,65,4,39,1
49,161694,8,8,70,3,16,0
31,157450,29,1,32,2,40,1
38,70201,18,5,34,5,23,0
32,84251,15,10,30,2,29,0
29,97572,23,8,48,2,10,0
30,64255,20,6,62,4,5,0
37,88212,5,7,71,2,11,1
58,75210,4,8,59,0,29,1
27,150629,13,6,41,2,45,1
33,47499,3,6,39,2,27,1
29,127552,7,6,63,0,34,1
47,86360,23,5,45,4,14,0
22,160675,10,8,69,1,41,1
25,152466,16,2,75,3,42,1
49,110473,20,7,58,4,10,0
57,168704,25,4,44,2,42,1
58,186679,26,1,77,1,11,1
39,116873,15,5,40,3,11,0
28,90756,25,3,73,3,35,1
21,81344,32,4,63,3,19,0
42,163421,30,7,65,0,24,0
37,96154,5,5,59,0,1,0
27,52464,7,4,64,1,12,1
45,198696,6,1,38,2,47,1
24,146897,33,6,47,1,14,0
56,62344,13,10,48,2,3,0
26,108791,15,6,68,4,45,1
51,180371,8,7,33,3,32,0
39,157534,9,1,35,3,16,1
59,145209,16,4,62,0,38,1
47,106441,11,9,61,4,10,0
30,115456,5,10,45,5,17,0
46,106788,18,6,40,4,49,1
39,196653,28,2,51,2,40,1
59,39175,5,4,65,4,4,1
23,162263,24,6,79,0,15,1
33,108434,23,4,52,2,33,1
48,109518,24,10,55,1,39,0
40,91537,15,7,60,2,10,0
48,140721,15,3,58,1,7,0
28,72645,5,6,34,5,33,0
59,48283,20,4,67,2,17,1
21,111971,3,3,54,3,12,1
23,117759,33,3,63,5,17,0
33,127780,27,2,41,1,47,1
48,186096,27,3,51,0,16,0
45,55734,16,10,38,5,14,0
53,25515,13,1,49,5,3,0
58,135782,6,3,58,5,44,1
26,91727,21,9,73,1,30,0
52,134164,0,4,58,1,46,1
41,71216,28,3,74,2,41,1
36,96833,30,8,56,3,35,0
41,83755,29,1,46,5,26,0
31,52856,14,5,34,2,12,0
57,98870,17,1,74,2,31,1
56,180234,34,7,42,3,17,0
55,162080,29,5,71,2,37,1
39,32987,33,2,44,3,8,0
40,121502,10,1,44,0,19,1
38,159404,26,7,47,3,26,0
34,91323,23,1,79,4,4,1
35,195062,34,3,31,3,15,0
51,34873,7,6,52,3,47,1
21,192516,17,6,72,4,14,0
23,191412,12,7,42,3,30,0
36,130219,23,1,72,1,48,1
43,30033,22,7,33,2,42,0
31,98324,11,2,76,2,24,1
32,40689,29,6,54,0,46,1
30,134756,30,8,40,0,43,0
52,25066,27,5,79,4,34,1
36,139159,21,10,77,1,19,1
28,32533,27,3,71,0,3,0
58,140828,12,8,41,2,4,0
32,84658,24,8,42,0,11,0
44,63498,6,4,38,0,13,0
48,134028,5,8,74,3,18,1
28,36772,23,5,67,0,19,1
48,114385,18,5,35,4,44,1
56,37940,18,3,72,2,33,1
46,143027,8,7,72,4,38,1
28,41932,28,9,39,4,3,0
48,49648,23,9,52,5,49,0
48,57966,4,1,44,1,35,1
57,183849,25,1,74,5,1,0
56,188639,13,10,52,5,35,0
47,173246,28,5,69,3,36,1
37,67598,5,1,66,4,38,1
29,169870,6,4,63,1,39,1
53,173630,17,1,45,2,25,0
40,86084,22,2,74,2,40,1
33,156250,0,2,70,1,13,1
48,42118,3,4,76,4,4,1
49,47616,34,8,61,4,6,0
33,156870,22,2,67,3,11,1
55,32601,26,9,69,3,1,0
26,50363,25,9,75,5,8,0
38,27795,7,2,34,2,34,1
25,122462,15,1,46,3,40,1
45,127892,2,10,51,1,9,0
22,97833,31,10,68,2,36,0
30,28084,4,9,70,4,49,1
50,120865,19,2,77,2,39,1
25,25731,13,8,47,0,42,1
53,157201,31,3,57,2,37,1
21,184094,25,1,42,3,42,1
38,26605,5,1,79,1,44,1
52,102506,4,10,71,4,21,1
31,69130,12,2,30,4,20,0
41,185337,31,7,79,3,38,1
46,188402,15,6,48,3,1,0
45,93469,0,2,63,3,35,1
42,171259,12,4,33,0,28,0
47,181863,10,2,72,1,7,1
33,115436,7,1,32,0,43,1
53,137341,24,3,70,3,44,1
54,195939,31,4,39,1,9,0
55,156965,23,10,57,3,1,0
21,124694,27,5,63,1,36,1
41,44773,13,5,68,4,34,1
26,29239,2,7,76,0,34,1
48,45863,26,10,48,5,17,0
37,76415,19,8,71,3,32,1
25,93968,14,9,75,3,2,0
51,85430,26,7,65,2,36,1
25,26515,27,5,72,5,25,1
58,122206,24,9,32,4,43,0
23,170677,32,8,52,3,26,0
43,81240,13,10,46,0,45,1
57,30586,7,9,36,4,26,0
57,145419,13,10,55,3,21,0
30,147374,0,8,72,0,18,1
30,56186,15,6,47,2,29,1
39,51928,17,4,75,2,24,1
37,147990,6,9,75,0,47,1
41,112029,14,9,35,4,28,0
34,45711,23,10,60,0,12,0
29,79962,12,10,58,5,11,0
21,45039,8,9,38,0,27,0
33,61561,14,10,64,2,23,1
24,26577,34,3,46,2,33,0
21,132792,23,3,41,2,16,0
52,184422,32,6,65,5,28,0
54,189870,15,6,77,3,28,1
48,35785,7,6,53,5,45,1
51,97227,28,5,39,3,38,0
28,143680,22,5,59,5,6,0
59,86957,30,2,58,1,42,1
46,90431,13,7,68,3,29,1
54,173369,29,4,39,4,34,0
23,96894,26,3,68,4,3,0
32,175653,15,8,57,2,6,0
21,80192,5,4,47,5,48,1
25,26462,32,4,70,0,38,1
50,153848,17,8,79,2,13,0
50,171583,15,1,46,0,36,1
37,101106,11,9,40,5,15,0
43,73665,19,7,30,2,6,0
35,106010,28,2,46,2,33,1
57,97573,29,6,65,4,41,1
41,132803,25,8,65,0,12,0
34,144682,21,5,75,1,43,1
22,38386,32,6,38,1,13,0
31,149069,28,10,74,2,33,0
59,79460,21,8,57,5,28,0
58,162293,12,6,77,2,36,1
54,179546,8,9,62,4,5,0
58,140375,23,9,32,0,25,0
54,137660,14,9,37,2,17,0
38,177117,12,6,79,5,37,1
50,116319,26,9,35,1,19,0
35,141582,6,3,35,0,35,1
47,160994,7,5,58,2,43,1
54,178778,13,2,66,0,34,1
58,67771,11,8,41,4,46,0
53,77335,16,4,38,1,6,0
44,77949,28,6,70,5,19,0
35,120558,26,6,78,0,1,0
50,171312,0,5,48,1,7,1
37,127272,33,1,46,2,34,1
25,27716,3,7,77,5,19,1
49,172646,23,10,73,5,33,0
24,176285,20,8,61,3,26,1
30,96916,32,1,64,0,41,1
37,75906,6,10,43,1,49,1
30,25463,0,7,78,0,42,1
37,188045,2,4,45,2,27,0
40,99694,14,6,50,2,38,1
44,176723,30,9,41,5,26,0
25,93694,15,5,53,5,35,1
54,45008,9,8,63,1,20,0
26,95474,28,5,37,4,24,0
22,63185,5,2,73,0,47,1
33,112924,28,4,50,0,21,0
31,59980,16,2,77,2,26,1
43,47504,21,7,37,0,20,0
36,79970,23,7,57,1,6,0
51,41766,16,3,45,3,3,0
31,141944,20,7,39,5,10,0
36,118922,10,1,44,2,12,0
28,167767,6,1,33,5,33,0
24,173868,4,9,55,5,22,0
24,198615,20,6,44,5,16,0
45,170631,17,5,65,3,17,0
23,189211,34,6,61,0,10,0
52,145494,19,6,72,4,12,0
23,33802,14,1,67,5,19,1
47,196277,4,5,33,1,40,1
49,59159,12,9,70,5,23,0
52,36516,11,4,38,5,40,1
39,75492,20,3,64,0,10,1
41,54086,5,1,57,1,10,1
25,138758,6,2,66,0,10,1
38,55480,25,3,76,5,39,1
48,153023,7,4,38,0,30,1
42,135195,8,7,31,0,4,0
41,63737,26,6,32,2,1,0
26,34265,3,8,73,3,43,1
21,139165,20,9,77,4,19,0
25,144501,30,6,34,3,5,0
32,95990,20,7,39,3,30,0
46,40386,24,4,57,1,26,1
54,129718,14,2,44,2,40,1
34,62425,34,9,43,2,34,0
46,146635,27,9,75,0,2,0
47,199326,13,4,52,3,24,1
29,78634,3,3,42,4,14,0
46,111988,19,10,45,1,41,0
42,131337,33,6,59,2,42,1
50,166215,11,3,69,0,13,1
37,171653,32,1,37,4,29,0
46,92443,23,4,46,3,1,0
56,54424,19,1,59,4,46,1
21,113844,4,2,46,2,34,1
28,66984,29,3,64,1,4,0
55,66505,23,8,30,3,28,0
35,127478,6,10,78,1,19,1
42,87699,15,4,53,5,1,0
34,183029,14,4,77,4,36,1
46,181536,22,10,78,4,43,1
48,139012,11,9,54,0,13,0
43,179721,28,7,31,3,42,0
34,198137,14,2,54,4,5,0
44,59758,28,3,43,2,33,1
22,161668,20,4,68,5,14,1
46,41374,14,4,62,2,16,1
34,143686,13,10,46,1,32,0
27,28775,15,8,60,5,27,0
23,52388,14,10,39,5,35,0
43,148800,3,10,35,2,3,0
38,46029,26,6,68,4,4,0
58,108981,22,3,54,2,7,0
55,78639,28,9,67,3,13,0
35,139010,8,10,66,1,41,1
45,170717,6,8,59,5,3,0
57,56105,3,9,63,3,17,0
48,169740,4,5,47,4,47,1
30,172032,4,3,53,4,10,0
59,151519,10,4,78,2,47,1
37,167429,27,5,56,0,1,0
59,127739,15,9,56,5,28,0
42,76796,29,9,68,5,10,0
46,40804,3,3,50,0,7,0
45,152732,1,7,48,4,39,1
37,170698,2,6,68,4,3,0
33,184204,20,4,52,5,7,0
40,32951,5,5,68,1,9,1
45,162521,17,10,77,5,40,1
24,44065,4,2,73,4,35,1
30,126503,8,7,76,4,26,1
23,130072,19,4,44,1,5,0
38,165202,27,2,72,3,13,1
56,114360,25,6,31,3,45,0
42,87287,17,2,64,1,30,1
54,193065,18,10,49,1,40,0
28,187947,2,2,57,3,39,1
39,162126,8,7,44,3,10,0
57,132357,30,1,45,3,42,1
26,54670,16,7,62,3,23,1
46,74112,22,10,76,5,11,0
54,113388,33,5,41,5,12,0
26,114156,4,1,68,2,13,1
57,184379,14,6,68,1,40,1
53,72922,2,7,72,0,49,1
42,118348,18,1,49,2,46,1
41,104335,27,9,58,0,49,1
26,51312,2,7,72,0,16,1
26,91985,3,1,78,4,9,1
24,155744,23,3,32,1,10,0
50,125963,30,5,77,5,29,1
31,196349,10,4,34,2,9,0
50,56551,0,2,31,1,33,1
51,114813,8,1,52,3,24,1
44,126025,16,4,55,1,35,1
29,149342,0,7,55,0,11,0
23,34637,2,4,36,5,39,1
51,68258,25,9,39,3,13,0
57,191765,30,8,34,1,23,0
56,165896,25,8,76,1,25,1
44,154553,22,5,41,5,16,0
51,51950,29,1,61,0,48,1
26,179560,9,9,71,3,21,0
22,152870,7,2,60,0,10,1
40,25215,24,6,51,5,41,0
48,130603,21,10,46,1,40,0
31,36523,14,5,49,2,19,0
24,93689,9,10,49,2,35,1
35,48834,19,8,72,4,28,0
26,59474,22,3,37,2,41,1
50,68066,0,6,76,5,2,1
